sample_id,split
001091e0bab8ce2e69fac18647db963b3336c1cb2a0505d1c8a8a451904f5041,train
0011bd832a05bd89fb3a1a53388003df090dc30bd68dd6c88b857a71568a2db6,train
00122ff63935e2ff163e4e252e248c3953bf15a7be9537f70c02251523a6fb77,test
00157985760abecb61852dcdfb753868e1e804632ecda690527188624bb78473,train
0019c6181d16c0e8f9524b4314692e1177b9a0ef6c56093c94e5eb7f875ac030,test
001c96c7a960d5929c9c3bf06e641bd36e87f27891d83087e81aa638236753a1,train
001cb23f0d6a70626c6c59602866434c84a20d21433b57a773707a344dceef34,train
0024792bc6c495f415cee19e1b83a38dfd817d6cff7f9588d420e2ccdc78a7b6,train
0027403ae135eba6dff9dac91d62b0c0f2d151ab11c02b40e65b278d4ad408a1,train
0029b84f7a18d1336b5565de81363fb473cd399c99555a6b62fe4794ae4abbc6,train
002b7bdbc00c30a9dd93814a1e4e89ee38d7739a1325af4d866cd239b34a1393,train
002da73c1166a88aee82c8a7009be09a44191dbb1430a4c1ec4d7e612e0320dd,train
0031cb77105182d3c441926f2e70fb50c069a3364f08c4cc5a92788a0ea6523a,train
0033c12cd3442c513964803d568c9a8b80f62c90dc815dd081d798ebe71f07d2,test
003de3dc1c20af4cc4c8d0b5ac3137c32c797c5cc28e005605a1d5d7fc33734b,train
00437a97e26b211aa489707af179a13033611861cf17f5b57feb552e1b41130c,train
0047106755e017c036f7c41e72095a58818a0417a34507ae08c68e50aeae5b00,train
0047b0b946d901a308aed610a6cc665b2cf4534b7554de186c377e4c0dbf1c5d,test
004a4da349b3b64a190e8e9e4039f3ad3523e4366580c0ec926e729f6b75f9d1,train
004c3fdb65855a806ed55586a061b7ec542d9ac60754a1a346ef988716be7739,train
0053b3332998f8ac152855110501a2c97a9c0f1c84059de9dbfd135d6bacac4d,train
005f356b12359d631d503679295e5dc2264351dcd446b4e16df7f2d30dcd48f1,train
005fc07524f37e4b543bce7c3fa0568b5489082c411df11661573d4c511cb538,train
005fdfd59d2b183fdf2006d1bb02487b41b5423daac747c5faf274c3fb75d22f,train
0060219cfb079a2a0c70ed234751ad6813c5996c8a15b537d8e8493a5ff04245,train
0067e25cb834f54cd605c79b91466c1d056fba430c43510c7f2b3f2d130c2633,train
006dee1febf9944de8a1c0874697c685d6b34ca2b2834d46675e847bab3918b1,train
006dfba6a8331a433834fe52e290ff90d144e5fbad1720bfb95a414958add4c9,train
0073b0f5b63d87e84f932d258183d023cfe55904c08ea43dcf86944d3cdbacfc,train
007470ccae829cf8ec30db034d1f976ff72a4e24571ce94fded86c0b932f9ceb,train
00757e881f5f32f4e3d509785e48b0b70f434b7660f74b20e8b329a8e6f492f3,train
00787e2cf2dc4f7cf7d6a4554110d5ba5abb6eda739eabd5c9278da8c116b245,train
0079956093951c2c2996d6f0226b378087c5dfdb41cfcc3b71ae3a8b96896208,train
