comparison_type,scheme,seed,left,right,macro_f1_diff_left_minus_right,macro_f1_ci_low,macro_f1_ci_high,macro_f1_p_value,weighted_f1_diff_left_minus_right,weighted_f1_ci_low,weighted_f1_ci_high,weighted_f1_p_value,mcnemar_b,mcnemar_c,mcnemar_chi2,mcnemar_p_value,model,macro_f1_scheme_A,macro_f1_scheme_B,weighted_f1_scheme_A,weighted_f1_scheme_B
RQ1_model_comparison,scheme_A_1to3neg_4to6neu_7to10pos,42,BERTurk,ConvBERTurk,-0.01252379303277543,-0.03346113177409987,0.008297762840508375,0.252,-0.009415883819697766,-0.015531598486627742,-0.0033259187791015474,0.002,147.0,205.0,9.230113636363637,0.0023806687180714103,,,,,
RQ1_model_comparison,scheme_A_1to3neg_4to6neu_7to10pos,43,BERTurk,ConvBERTurk,-0.015030766365293057,-0.03680156510191336,0.006605709853366303,0.172,-0.010099533484717971,-0.015990874579595703,-0.004716534439963663,0.002,123.0,190.0,13.916932907348242,0.000191069375238051,,,,,
RQ1_model_comparison,scheme_A_1to3neg_4to6neu_7to10pos,44,BERTurk,ConvBERTurk,-0.013846462161102427,-0.03565143711996889,0.007175221455678901,0.224,-0.004164779855994095,-0.009939958813157939,0.0014240361631663164,0.144,151.0,181.0,2.533132530120482,0.11147870893660305,,,,,
RQ1_model_comparison,scheme_B_1to4neg_5to6neu_7to10pos,42,BERTurk,ConvBERTurk,-0.028527648721017592,-0.04753562243528285,-0.010645176190820851,0.002,-0.023773739912495775,-0.02989388962546239,-0.017542633888247252,0.0,110.0,273.0,68.52219321148826,1.1102230246251565e-16,,,,,
RQ1_model_comparison,scheme_B_1to4neg_5to6neu_7to10pos,43,BERTurk,ConvBERTurk,-0.025139847612999793,-0.043785701794343254,-0.0049614016495220644,0.02,-0.007872005113969098,-0.013915935458695019,-0.0015529047293871764,0.008,145.0,193.0,6.535502958579881,0.010574232260381566,,,,,
RQ1_model_comparison,scheme_B_1to4neg_5to6neu_7to10pos,44,BERTurk,ConvBERTurk,0.0025217072990622006,-0.017785322445838737,0.02196073874461931,0.818,-0.0029872697134767845,-0.008846623096492506,0.0028357028986646282,0.292,168.0,192.0,1.4694444444444446,0.2254333683050752,,,,,
RQ2_scheme_sensitivity,scheme_A_vs_scheme_B,42,scheme_A,scheme_B,0.025526503510338694,,,,0.01632183763877082,,,,,,,,BERTurk,0.5882087120665377,0.562682208556199,0.866797381862783,0.8504755442240122
RQ2_scheme_sensitivity,scheme_A_vs_scheme_B,43,scheme_A,scheme_B,0.015821651314757212,,,,0.008626158372190385,,,,,,,,BERTurk,0.5862769560121849,0.5704553046974277,0.8707415138455404,0.86211535547335
RQ2_scheme_sensitivity,scheme_A_vs_scheme_B,44,scheme_A,scheme_B,0.0033337325914771787,,,,0.0052816154080452815,,,,,,,,BERTurk,0.5806452908529018,0.5773115582614247,0.8696853883788548,0.8644037729708095
RQ2_scheme_sensitivity,scheme_A_vs_scheme_B,42,scheme_A,scheme_B,0.009768264159017992,,,,0.0019482205012100184,,,,,,,,ConvBERTurk,0.6007402541066509,0.5909719899476329,0.8761489655610909,0.8742007450598809
RQ2_scheme_sensitivity,scheme_A_vs_scheme_B,43,scheme_A,scheme_B,0.0063188485788348014,,,,0.011059197295130052,,,,,,,,ConvBERTurk,0.6012109146111014,0.5948920660322666,0.8808780536579577,0.8698188563628276
RQ2_scheme_sensitivity,scheme_A_vs_scheme_B,44,scheme_A,scheme_B,0.019072767732799423,,,,0.006451040316345691,,,,,,,,ConvBERTurk,0.5944741726843064,0.5754014049515069,0.8739479802197587,0.867496939903413
